algo;size;random;order;rng;time
heap;100;0.8;f;f;0.00182
heap;100;0.8;f;t;0.00181
selection;1000000;0.0;t;f;1075.0423700000001
selection;100000;0.0;t;t;9.139610000000001
bubble;1000;0.8;t;f;0.0041600000000000005
insertion;100;0.8;f;f;0.00212
heap;1000000;0.8;t;f;0.18336000000000002
heap;10000;1.0;t;f;0.0030099999999999997
cartesiantree;10000;1.0;t;f;0.00318
cartesiantree;1000;0.0;t;t;0.0024100000000000002
insertion;10000;0.8;t;t;0.019739999999999997
cartesiantree;1000000;0.8;t;t;0.44968
insertion;10000;0.0;f;f;0.047420000000000004
insertion;100000;1.0;t;f;0.00771
heap;1000;0.8;t;f;0.00198
cartesiantree;100000;0.0;t;f;0.05411
selection;1000;0.8;t;t;0.00302
selection;10000;0.8;f;f;0.08452
cartesiantree;1000000;0.0;f;t;1.42727
bubble;10;1.0;t;f;0.00207
quick;100000;0.8;f;t;0.016390000000000002
merge;100;0.8;t;t;0.00214
cartesiantree;1000;0.0;f;f;0.00218
merge;100;0.0;t;f;0.00226
insertion;1000000;0.0;f;t;508.62965
heap;1000;0.0;t;t;0.00195
merge;100;0.8;f;f;0.00215
bubble;1000000;0.8;f;t;3392.5819100000003
heap;100;0.8;t;f;0.00181
cartesiantree;1000000;0.0;t;f;0.68259
bubble;10000;1.0;f;f;0.39188999999999996
merge;1000000;1.0;f;f;0.16548
merge;1000;1.0;f;t;0.00227
insertion;10;1.0;t;t;0.00215
bubble;100000;0.0;f;t;58.91827
bubble;10;1.0;f;f;0.0020299999999999997
merge;10;1.0;f;f;0.0024500000000000004
merge;10000;0.0;f;t;0.00393
heap;10000;1.0;t;t;0.00231
quick;10;1.0;f;t;0.0021000000000000003
bubble;10;0.0;t;f;0.00197
heap;10;0.0;t;t;0.00196
cartesiantree;1000;0.8;t;t;0.00237
bubble;100;0.0;t;t;0.002
selection;100;0.95;t;f;0.00196
merge;10000;1.0;t;t;0.00329
selection;100000;0.8;f;f;10.82785
quick;1000000;0.8;t;f;0.21605000000000002
quick;10000;0.95;t;f;0.00444
merge;10;0.8;t;f;0.00222
merge;100000;1.0;f;f;0.01625
cartesiantree;10;0.8;f;f;0.00197
cartesiantree;100000;1.0;f;f;0.015609999999999999
selection;1000000;1.0;t;t;964.54966
selection;100000;0.0;f;f;8.84883
heap;10;0.8;f;f;0.0022
merge;10000;0.0;t;t;0.00405
cartesiantree;10;0.8;t;f;0.00189
insertion;10000;1.0;t;f;0.00204
insertion;1000000;1.0;f;t;877.3930600000001
merge;1000;1.0;t;f;0.00289
insertion;1000000;0.8;t;f;189.75744
merge;10;0.8;t;t;0.00206
merge;10000;1.0;t;f;0.00281
heap;1000;0.95;t;f;0.00259
insertion;1000;0.0;f;f;0.00246
cartesiantree;10;1.0;f;f;0.00181
selection;100000;1.0;t;f;8.0706
merge;100000;0.95;t;f;0.01753
insertion;100000;0.0;t;t;7.442819999999999
heap;10;0.8;f;t;0.0019399999999999999
bubble;10;0.8;f;f;0.0020800000000000003
quick;10;1.0;t;f;0.00221
cartesiantree;100;0.0;f;f;0.00252
merge;10;0.0;f;f;0.00211
insertion;1000000;0.0;t;t;537.9016899999999
cartesiantree;100;0.8;f;t;0.00213
bubble;100000;0.95;t;f;14.29417
selection;10000;1.0;f;f;0.08008
heap;100000;0.0;t;t;0.00782
merge;100;0.0;t;t;0.00239
selection;10000;0.0;f;t;0.08514000000000001
heap;10;0.0;t;f;0.00211
bubble;10;0.0;f;t;0.00219
cartesiantree;1000000;1.0;f;f;0.16363
quick;100;1.0;t;f;0.00202
selection;1000000;0.95;t;f;553.41229
insertion;1000;0.0;t;t;0.00283
insertion;100000;0.0;f;t;13.59751
selection;100;1.0;f;f;0.00198
bubble;100;1.0;f;t;0.00314
merge;10;1.0;f;t;0.00216
merge;100;0.0;f;f;0.00196
heap;1000;1.0;f;f;0.00212
cartesiantree;100;0.8;t;t;0.00207
bubble;10;0.95;t;f;0.00188
selection;1000;1.0;t;f;0.0035800000000000003
selection;1000;1.0;t;t;0.0029500000000000004
cartesiantree;100000;0.0;f;t;0.04312
quick;100000;0.8;t;f;0.01743
selection;100;0.8;t;f;0.00276
insertion;10000;0.8;t;f;0.0177
insertion;100;0.0;t;f;0.00174
insertion;100;1.0;t;t;0.0022299999999999998
selection;1000;0.8;f;t;0.0040999999999999995
quick;10;1.0;f;f;0.0028399999999999996
insertion;10000;0.8;f;f;0.06154
cartesiantree;10;0.0;f;t;0.00195
bubble;1000000;1.0;t;f;0.05062
quick;1000000;0.95;t;f;0.26389999999999997
selection;1000;1.0;f;f;0.00309
insertion;1000;0.8;f;t;0.0023799999999999997
heap;1000000;0.95;t;f;0.18361000000000002
insertion;10;0.0;t;f;0.00195
merge;10000;0.8;f;f;0.00377
merge;100000;0.8;f;f;0.020460000000000002
cartesiantree;100000;1.0;f;t;0.01463
merge;100;0.8;t;f;0.0019
cartesiantree;100000;0.8;f;t;0.03406
heap;10;0.95;t;f;0.0017900000000000001
insertion;100;0.0;t;t;0.00268
selection;10;0.0;f;t;0.00212
merge;10000;0.8;t;f;0.0039900000000000005
selection;1000000;0.8;f;f;931.27571
bubble;100000;0.0;f;f;44.36847
heap;1000;1.0;t;f;0.0029500000000000004
heap;1000;0.8;f;f;0.00174
cartesiantree;1000;0.0;t;f;0.0025299999999999997
cartesiantree;1000;1.0;t;f;0.00226
selection;1000;0.8;f;f;0.00322
insertion;10000;0.0;t;f;0.037950000000000005
insertion;100000;1.0;t;t;0.00579
quick;1000000;1.0;t;f;1585.5111399999998
heap;1000;0.0;t;f;0.0024700000000000004
cartesiantree;1000;1.0;f;f;0.00215
bubble;1000000;0.8;f;f;3610.55922
quick;10;0.8;f;t;0.00233
insertion;1000;0.8;t;t;0.00214
merge;1000;0.0;f;t;0.00227
bubble;1000000;1.0;f;t;3429.4485299999997
insertion;1000000;0.8;f;t;816.5886700000001
selection;10;0.0;t;t;0.00234
selection;1000000;1.0;f;t;820.53004
insertion;100000;0.0;t;f;5.65096
merge;100000;0.8;t;f;0.02089
heap;100000;1.0;f;t;0.0070599999999999994
selection;10;0.0;f;f;0.00211
cartesiantree;1000000;0.8;f;t;0.59277
quick;10000;0.0;f;f;0.0033799999999999998
cartesiantree;10000;0.0;t;t;0.00528
quick;100;0.8;t;t;0.00229
insertion;100000;0.0;f;f;19.03027
bubble;1000;0.0;t;t;0.005030000000000001
bubble;10;1.0;t;t;0.00222
bubble;100;0.8;f;t;0.00264
merge;1000000;0.95;t;f;0.14595
bubble;10000;0.8;t;t;0.18234
insertion;1000000;1.0;t;t;0.04874
selection;100000;0.8;f;t;8.63632
heap;100;1.0;t;t;0.00265
insertion;100;0.8;t;f;0.0019299999999999999
heap;10000;0.95;t;f;0.00326
cartesiantree;1000000;0.8;f;f;0.5277200000000001
heap;10;1.0;f;t;0.00266
quick;100000;0.0;f;f;0.01617
merge;100000;0.0;f;t;0.023170000000000003
insertion;100;1.0;t;f;0.0024100000000000002
bubble;1000;0.0;f;t;0.00551
merge;1000;0.8;t;f;0.0023599999999999997
cartesiantree;100;0.0;t;t;0.00211
cartesiantree;10;0.0;t;f;0.0020499999999999997
heap;100;0.0;t;t;0.00197
merge;1000000;0.0;f;f;0.2429
cartesiantree;10000;0.8;f;t;0.00415
quick;1000;0.0;t;t;0.0025099999999999996
quick;100;0.0;t;f;0.00214
bubble;10000;1.0;t;t;0.00221
insertion;10;0.8;t;f;0.00227
cartesiantree;100000;0.0;f;f;0.0443
heap;100;0.8;t;t;0.0019199999999999998
bubble;10000;1.0;t;f;0.0022
selection;10000;0.0;t;f;0.08141
bubble;100;0.0;f;t;0.00297
selection;1000;0.0;t;f;0.00323
selection;10000;1.0;t;f;0.08669
merge;10000;0.0;t;f;0.00354
bubble;1000000;0.0;t;t;3877.19339
selection;10000;0.8;f;t;0.07873999999999999
quick;10000;1.0;f;t;0.1364
merge;10;0.8;f;f;0.00234
cartesiantree;1000;0.8;f;t;0.0024500000000000004
insertion;100;1.0;f;f;0.00309
selection;1000000;0.0;f;t;812.6302800000001
cartesiantree;100;0.95;t;f;0.0023599999999999997
quick;10000;0.0;t;f;0.00429
merge;1000;0.8;f;t;0.00219
quick;1000000;0.8;f;t;0.16337000000000002
heap;1000000;0.0;t;t;0.06587
insertion;1000;0.8;f;f;0.00297
